country_iso_3,state_code,state_name,county_name,city_name,category,pest_name,starts_at,ends_at,source_url,reason,is_active,data_source,confidence,raw_organism,scraped_at
USA,CA,California,San Luis Obispo,,ALL,Light Brown Apple Moth,2017-08-17,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2013 LBAM San Luis Obispo - Cambria,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-04T16:00:30.199Z
USA,CA,California,Santa Barbara,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 CTV Santa Barbara,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-04T16:00:30.199Z
USA,CA,California,Santa Barbara,,ALL,Light Brown Apple Moth,2017-06-29,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2015 LBAM Santa Barbara - Lompoc,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-04T16:00:30.199Z
USA,CA,California,Santa Clara,,produce,Mediterranean fruit fly,2026-01-01,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2025 Medfly Santa Clara County - San Jose,true,CDFA_ARCGIS,HIGH,Mediterranean fruit fly,2026-04-04T16:00:30.199Z
USA,CA,California,Sonoma,,ALL,Light Brown Apple Moth,2013-12-29,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2010 LBAM Sonoma - Kenwood,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-04T16:00:30.199Z
USA,CA,California,Tulare,,citrus,Citrus Yellow Vein Clearing Virus,2025-10-01,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — CYVCV - Tulare - Visalia,true,CDFA_ARCGIS,HIGH,CYVCV,2026-04-04T16:00:30.199Z
USA,CA,California,Tulare,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 Tulare County,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-04T16:00:30.199Z
USA,CA,California,Ventura,,citrus,Huanglongbing (Citrus Greening),2024-08-23,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — HLB - Ventura - Santa Paula,true,CDFA_ARCGIS,HIGH,HLB,2026-04-04T16:00:30.199Z
USA,CA,California,Ventura,,ALL,Light Brown Apple Moth,2016-10-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2016 LBAM Ventura - Ventura North,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-04T16:00:30.199Z
USA,CA,California,Yolo,,ALL,Light Brown Apple Moth,2015-01-13,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2015 LBAM Yolo - Davis,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-04T16:00:30.199Z
